access,tests,exam,project,assignments,Target
537,42.27,0.0,52.29,8.58,0
1079,36.5,5.0,56.25,25.0,0
173,41.0,12.0,83.16,0.0,0
1007,27.0,8.0,63.19,34.0,0
918,32.0,12.0,65.97,23.0,0
635,28.0,7.0,92.33,12.0,0
151,0.0,0.0,0.0,10.0,0
18,0.0,0.0,0.0,5.0,0
527,0.0,0.0,0.0,26.0,0
78,0.0,0.0,0.0,18.0,0
603,0.0,0.0,0.0,16.0,0
340,0.0,0.0,0.0,0.0,0
429,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0
126,0.0,0.0,0.0,0.0,0
28,0.0,0.0,0.0,0.0,0
794,68.1,19.4,100.23,37.0,1
844,57.85,12.57,96.14,32.0,1
658,64.6,17.57,101.59,37.0,1
1193,56.93,13.28,102.31,36.0,1
1400,61.35,15.4,93.72,34.0,1
1335,57.95,13.97,101.75,37.0,1
1139,59.45,14.3,105.0,37.0,1
634,58.48,14.65,82.38,28.0,1
645,55.68,14.12,88.94,30.0,1
1286,60.75,17.0,94.5,35.0,1
728,58.08,17.22,83.0,24.0,1
945,53.85,14.57,91.71,28.0,1
1002,56.75,13.5,92.94,35.0,1
599,52.68,12.12,99.7,28.0,1
777,46.75,13.33,96.76,34.0,1
1319,51.05,10.87,88.15,36.0,1
807,60.5,13.0,95.62,32.0,1
906,20.4,12.15,88.01,32.0,1
652,61.15,12.93,92.74,33.0,1
772,49.85,12.4,101.01,36.0,1
874,49.55,13.87,92.92,34.0,1
710,53.5,16.0,91.57,28.0,1
1253,52.85,12.57,94.86,39.0,1
932,56.75,15.0,95.21,35.0,1
1363,51.27,12.9,87.88,36.0,1
1729,44.95,15.3,90.55,37.0,1
1102,56.23,15.82,94.72,36.0,1
1031,54.33,14.38,89.16,37.0,1
923,53.63,13.42,84.85,31.0,1
1266,42.8,14.87,88.79,35.0,1
1463,61.39,13.67,88.95,29.0,1
722,51.25,12.5,84.73,31.0,1
697,17.87,11.98,83.1,0.0,1
834,45.7,15.13,98.87,34.0,1
1202,55.48,14.48,91.21,22.0,1
626,59.25,15.0,78.57,34.0,1
605,55.95,16.13,87.4,32.0,1
897,40.0,0.0,0.0,20.0,1
650,40.55,9.2,96.53,28.0,1
665,47.24,12.83,84.06,21.0,1
737,41.24,11.49,92.05,29.0,1
1886,39.18,10.45,86.5,24.0,1
583,44.55,14.7,84.84,17.0,1
825,50.75,18.5,81.22,28.0,1
1237,49.5,12.5,79.72,26.0,1
1038,40.25,15.17,91.81,20.0,1
583,35.0,0.0,0.0,19.0,0
499,24.73,1.0,37.2,19.0,0
448,27.0,0.0,0.0,12.0,0
